station_id,station_name,geton_usage,getoff_usage,total_usage,tour_station
2506,구억리,46,208,254,0
2459,사계리사무소,166,87,253,0
1768,수모루,121,132,253,0
112,종합어시장,91,162,253,0
2796,탄산온천,105,146,251,1
132,아라초등학교,77,173,250,0
1195,종달리,133,116,249,0
635,공항초소,209,40,249,0
3465,동광환승정류장(종점),3,246,249,0
1572,제주절물자연휴양림,243,6,249,1
435,노형오거리,189,59,248,0
1250,어리목입구,60,188,248,1
1133,한림천주교회,126,119,245,0
1216,행원리,114,130,244,0
3131,금능블루하와이,226,18,244,1
1540,"다랑쉬오름입구(남),손지오름",168,76,244,
2129,창천초등학교,125,119,244,0
466,화북남문,89,155,244,0
2751,남원포구입구,145,98,243,0
2587,신산환승정류장(성산농협신산지점),173,70,243,0
2095,켄싱턴제주호텔입구,10,233,243,1
2278,인성리(남문지앞사거리),205,38,243,0
1265,교래사거리,67,175,242,0
1126,한림여자중학교,109,132,241,0
1653,1100도로입구,236,5,241,0
1275,교래입구,202,38,240,0
165,탐라장애인종합복지관,114,125,239,0
327,농협지역본부,118,121,239,0
1215,행원리,149,90,239,0
60,일우한란아파트,214,23,237,1
2739,구억리옹기체험관,209,27,236,1
1234,동복리,146,90,236,0
1240,북촌리,65,170,235,0
1239,북촌리,161,74,235,0
1027,교래사거리,137,97,234,0
207,제주대학교입구,155,79,234,0
2013,신라호텔,123,109,232,1
1988,대평리,176,55,231,0
1101,귀덕초등학교,150,80,230,0
263,회천입구,112,117,229,0
1963,솔동산입구,161,67,228,0
218,제4부두,207,21,228,0
2139,비석거리,47,181,228,0
449,부영아파트,162,66,228,0
1249,어리목,201,26,227,1
1967,세기아파트,64,163,227,0
1227,동성동,138,89,227,0
93,제성마을,162,64,226,0
3286,성읍환승정류장(성읍1리사무소),204,22,226,0
1128,한국통신,147,78,225,0
2039,서귀포농협,128,97,225,0
3130,금능블루하와이,39,183,222,1
694,6호광장,216,6,222,0
430,월산정수장입구,81,140,221,0
483,신제주오피스텔,36,185,221,0
1386,제주해변공연장,151,69,220,1
1224,지경곰,58,162,220,0
123,인다마을,58,162,220,0
3284,대정읍사무소,9,211,220,0
2586,신산환승정류장(성산농협신산지점),63,156,219,0
3364,용두암현대1차아파트,205,13,218,0
3280,남국원(아라방면),96,121,217,0
1755,외돌개,205,12,217,1
1835,위미문화의집,115,101,216,0
1676,성산하이츠빌라,169,47,216,0
1074,신엄리,116,99,215,0
1887,서귀포산업과학고등학교,62,153,215,0
2351,성산리취락구조,172,41,213,0
1069,구엄리,66,147,213,0
1595,비자림로교래입구,185,28,213,0
499,제주제일고등학교,43,170,213,0
1450,디지털융합센터,163,49,212,0
1212,한동리서동,102,109,211,0
1260,교래사거리,124,87,211,0
141,정부제주지방합동청사,49,162,211,0
875,신산로,97,114,211,0
1943,켄싱턴리조트악근천,117,94,211,1
1475,선진동,119,91,210,0
1802,주공34단지,125,85,210,0
1201,평대리사무소,146,62,208,0
3173,서복전시관,7,201,208,0
2467,화순리,125,82,207,0
1958,서귀북초등학교,184,22,206,0
2794,농협하나로마트,101,104,205,0
472,운전면허시험장,86,119,205,0
277,인화초등학교,92,113,205,0
1102,귀덕1리,87,118,205,0
429,월산정수장입구,117,86,203,0
2215,고성리장만이동산,58,145,203,0
1231,김녕리,119,84,203,0
448,중흥S클래스아파트,107,96,203,0
2552,샤인빌리조트입구,106,96,202,1
1944,켄싱턴리조트악근천,133,69,202,1
39,하귀우체국,92,109,201,0
1962,솔동산입구,89,112,201,0
486,해안로,46,154,200,1
1070,구엄리,135,64,199,0
3070,삼다체육공원입구,172,27,199,0
4194,성산보건지소,40,158,198,0
1389,제주해변공연장,105,93,198,1
1180,하도리,155,42,197,0
113,탑동푸른쉼터,140,57,197,1
1059,대천환승정류장(교래방향),126,71,197,0
1202,평대초등학교,192,4,196,0
1181,하도리,68,127,195,0
1531,교래자연휴양림,106,89,195,1
2012,하나호텔한국관광공사,131,64,195,0
453,사대부고,141,54,195,0
464,제주고등학교,18,177,195,0
2612,고성리제주은행,129,65,194,0
2624,시흥리,67,125,192,0
2460,사계리사무소,64,128,192,0
1073,신엄리,105,86,191,0
2361,성산고등학교,110,81,191,0
2551,샤인빌리조트입구,137,54,191,1
3396,쇠소깍하효항입구,42,149,191,1
225,조천리,88,102,190,0
3112,제6부두,174,16,190,0
487,해안로,166,23,189,0
2965,제주도립미술관,125,63,188,1
822,동명리,81,107,188,0
707,만장굴입구,4,184,188,1
1672,중문고등학교,115,73,188,0
175,명주주택,76,112,188,0
2800,수산1리비석거리,164,21,185,0
34,신산마을,154,30,184,0
2772,산방복지회관,72,111,183,0
2891,교래리보건소,117,64,181,0
465,제주고등학교,172,9,181,0
3246,대천환승정류장,85,96,181,0
24,번대동,94,87,181,0
1211,한동리서동,115,66,181,0
3258,용눈이오름,101,79,180,1
2476,덕수초등학교,111,69,180,0
454,사대부고,77,102,179,0
2765,주공34단지,52,127,179,0
1207,계룡동,84,94,178,0
2362,성산고등학교,83,94,177,0
20,연대마을,123,54,177,0
1837,위미1리사무소,86,91,177,0
33,신산마을,40,136,176,0
427,월산마을,61,115,176,0
2064,서문로터리입구,51,125,176,0
490,도두동,81,95,176,0
2008,서귀포항,19,156,175,0
805,송당초등학교,77,97,174,0
1120,한림고등학교,113,61,174,0
4085,제주신화월드테마파크,73,101,174,1
38,하귀우체국,85,89,174,0
2026,법환농협,132,41,173,0
2059,(구)중문동주민센터,67,106,173,0
1349,애월신협,130,43,173,0
1662,씨에스호텔,66,107,173,1
1960,오션팰리스호텔,87,86,173,1
1845,공천포,87,86,173,1
231,대섬입구,96,77,173,0
241,화북주공아파트,115,58,173,0
1206,평대리서동,72,100,172,0
2756,대포포구,96,76,172,0
2405,표선면충혼묘지,78,93,171,0
450,으뜸마을,74,97,171,0
1740,법환농협,71,99,170,0
1671,중문고등학교,69,101,170,0
488,오래물광장,153,17,170,0
100,월랑입구,125,43,168,0
2478,대정고등학교,37,131,168,0
428,월산마을,100,67,167,0
92,제성마을,63,104,167,0
1209,한동리,106,60,166,0
233,신촌리,82,84,166,0
1205,평대리서동,104,61,165,0
142,정부제주지방합동청사,110,55,165,0
232,신촌리,89,75,164,0
2381,표선초등학교,126,37,163,0
3601,외돌개,61,102,163,1
2771,"테디밸리골프앤리조트,헬로키티아일랜드",56,107,163,1
3518,항몽유적지입구,71,90,161,1
1918,비석거리,10,151,161,0
2597,온평초등학교,118,43,161,0
1849,하례1리입구,89,72,161,0
823,한림2리,109,52,161,0
1661,씨에스호텔,135,25,160,1
1100,하동복지회관,64,96,160,0
210,인화동,91,69,160,0
2598,혼인지입구,34,126,160,0
383,용담사거리,26,134,160,0
173,명신마을,134,25,159,0
1541,메이즈랜드,75,84,159,1
7,노형주공아파트,144,14,158,0
1492,신사동(종점),63,95,158,0
652,봉개동,96,62,158,0
1819,효돈초등학교,101,56,157,0
2679,수산초등학교,139,18,157,0
659,우당도서관입구,2,155,157,0
2878,섭지코지,48,108,156,1
392,월성마을회관,121,35,156,0
230,대섬입구,94,62,156,0
226,조천리,97,59,156,0
2322,해병부대,126,29,155,0
1085,애월중학교,77,78,155,0
3233,토평사거리,148,7,155,0
352,이호테우해수욕장,16,139,155,1
223,삼양2동,128,26,154,0
3516,제주사대부설중학교,36,118,154,0
651,봉개동,83,71,154,0
445,제주한라대학교,72,82,154,0
2714,문화마을,78,76,154,0
2596,온평초등학교,39,114,153,0
1779,서귀북초등학교,23,130,153,0
3285,성읍환승정류장(성읍1리사무소),17,135,152,0
1973,주공2단지,34,118,152,0
343,제주썬호텔,51,100,151,1
1358,한라생태숲,74,77,151,1
3486,제주대학교병원,84,67,151,0
2697,대포항,63,87,150,0
61,우령이마을,13,137,150,0
2364,모슬포우체국,35,114,149,0
2583,삼달교차로,83,66,149,0
1818,효돈중학교,51,97,148,0
115,탑동입구,49,99,148,1
624,큰구릉내,91,57,148,1
1641,우남동,80,67,147,1
1164,화전마을,81,66,147,1
2132,강창학종합경기장,134,13,147,1
1532,S중앙병원,61,86,147,1
3202,신화역사공원,81,65,146,1
1838,위미초등학교,76,70,146,1
145,제주국제대학교,80,65,145,1
1869,서귀포산업과학고등학교,119,26,145,1
2524,동부보건소,81,64,145,1
3124,금산목,63,82,145,1
1974,산남새마을금고,124,20,144,1
315,사라봉,22,122,144,1
2699,약천사,53,90,143,1
1269,전원마을,54,88,142,1
1199,평대리동동,58,84,142,1
2877,산이수동,93,46,139,1
2799,수산1리비석거리,93,46,139,1
1677,반참모르,96,42,138,1
2774,성박물관,101,37,138,1
21,모감동,73,65,138,1
1850,하례1리입구,77,60,137,1
2651,의귀환승정류장(의귀초등학교),129,8,137,1
1198,평대리동동,80,56,136,1
4160,제주세계자연유산센터거문오름,87,49,136,1
858,동복리휴게소,83,53,136,1
1846,공천포,77,59,136,1
415,서해안로,122,14,136,1
461,무수천,70,65,135,1
2365,덕수초등학교,64,71,135,1
2406,표선면충혼묘지,85,50,135,1
2665,의귀환승정류장(의귀초등학교),29,106,135,1
31,내도동동마을,96,38,134,1
2374,표선고등학교,6,128,134,1
2285,수산초등학교,22,112,134,1
