geton_stataion_name,usage
측골,8
바가잣도,8
그린카센터,8
장전알동네,8
제6부두,8
수산2리입구,8
동부경찰서,8
저지오름,8
동부하수처리장입구,8
강정새마을금고,8
낙선동,8
화북공업지역입구,8
수산2리생태체험센터,8
추자면자치센터,8
제주공룡원,8
난산동동네,8
거물여,8
영흥리,8
회수삼거리,8
수산1리사거리,8
동홍대림,7
금악초등학교,7
남원농협신흥지소,7
독벌은이동산,7
트릭아트뮤지엄,7
허물서,7
삼양검문소,7
방구동,7
성수동,7
제주세계자연유산센터거문오름,7
청화마을입구,7
상천리,7
제주시보건소,7
올리수,7
한경면사무소,7
지경곰,7
던덕모롤,7
안덕119센터,7
약천사(출발지),7
대흘초등학교,7
영흥리부녀회사무실,7
주거물,7
돈물교,7
하원초등학교,7
구좌보건소,7
수산교차로,7
동백동산습지센터,7
신흥2리보건진료소,7
와산삼거리,7
온평리,7
서건도,7
병문교,7
조수1리,7
남원중학교,7
색달마을입구,7
가물개공원,7
좌기동,7
동광문화마을,7
종보존연구센터,7
금능블루하와이,7
한라주택,7
봉개남문,7
용수리충혼묘지,7
어두모루,6
세화고등학교,6
사계어촌체험어장,6
대림리사무소,6
하가리연못,6
대림입구,6
낙천리,6
서귀포항입구,6
소보리당,6
상도리세화고등학교,6
광석동,6
연미마을,6
광평고치동산,6
유수암리,6
캐슬렉스골프클럽,6
일성콘도미니엄,6
한국방송통신대학,6
당동,6
신도3리,6
극락사,6
국민건강보험공단,6
노리매,6
의귀서동네,6
전경대입구,6
더럭초등학교,6
삼양3동포구,6
대흘2리,6
영평상동,6
서광동리소랑못,6
고도농원,6
신창중학교,6
동수동,6
성산고입구삼거리,6
함덕농협주유소,6
용흥리상동,6
라신동,6
신양리,6
환상숲곶자왈공원,6
새가름마을,6
묵리,6
고산1리육거리,6
제주항공우주박물관,6
주구동산,6
용눈이오름,6
동홍분식,6
오광로,6
아이뜨락공원,6
감귤단지,6
보성상동,6
"거슨새미오름,안돌오름",6
맹살공원,6
제주컨트리클럽,6
장구마을,5
임항로,5
하효마을회관,5
보목입구,5
명리동,5
신풍리사거리,5
신평리상동,5
남조순오름입구,5
신흥1번지,5
선흘목선동,5
동병듸,5
전원유치원,5
진부동,5
반석아파트,5
서부신협유통영농조합,5
삼매봉도서관,5
수산1리큰동네,5
수산2리,5
남원2리복지회관,5
감산입구,5
온천동,5
서호동마을회관,5
종합사격장,5
금능농공단지,5
선흘2리,5
가시리동하동,5
한마음선원입구,5
소인국테마파크,5
어음1리사무소,5
신선동,5
해병대제9여단,5
구시장터,5
신례교,5
대정서초등학교,5
원당분화원,5
윗가시나물,5
제주유리의성,5
용당,5
청수리사거리,5
산남내,5
대성목장,5
표선허브동산,5
열방대학,5
진드르,5
용흥리하동,5
사회복지법인춘강,5
세성로입구,5
토산관광지구입구,5
신안동,5
구억리상동,5
동광단지,5
토산보건진료소,5
다희연,5
가시리동상동,5
봉개체육공원,5
상수동,4
고장낭밭,4
하천상동회관앞,4
감귤박물관,4
선녀와나무꾼,4
세미마을,4
고수동,4
제주공천포전지훈련센터,4
서광서리사수동,4
하례돈야로,4
상모2리,4
송당물혹,4
석부작박물관,4
하효마을다목적회관,4
금산,4
소앵동입구,4
회수동,4
하효고막곶,4
처남빌레,4
중문동주민센터,4
군모루,4
제주삼다수,4
고산,4
조수리,4
세화3리삼거리,4
첨단행복주택,4
상도마을회관,4
하천리몰고랑터,4
제주조각공원입구,4
상명,4
서광동리웃네거리,4
교래분교,4
소길리,4
명월상동회관,4
부면동,4
동홍초등학교,4
노루생이삼거리,4
노루생태관찰원,4
인향동입구,4
아부오름,4
동원산업,4
아미휴먼빌,4
아라뜨래별,4
도평로광평마을입구,4
탐라도뚜리농장,4
백구동네,4
백구빌라입구,4
백약이오름,4
신례하동,4
대진유토피아,4
사려니마을,4
사라마을,4
사계용해경로당,4
대흘교차로,4
동방남비케길,4
동모루왓,4
신양1리,4
동남아파트,4
항애골,4
복호동입구,4
원동,4
봉개워터파크,4
웃가름,4
삼남내,4
대서리사무소,4
애조로광령1리입구,4
수산저수지입구,4
전국환경감시협회,4
수산2리비석거리,4
바스메,4
한원리,4
두인빌라삼거리,4
남원리월산동,4
두문이머세(두맹이골목),4
칠십리음식특화거리,4
예비군훈련장,4
안국사,4
머구낭동산,4
청용사,4
한의원,4
한라산둘레길,3
보성리하동,3
흙담솔사가,3
메밀동산,3
표선청년회의소,3
차남동산,3
"제주현대미술관,김창열미술관",3
목선동,3
함덕골,3
어음2리,3
엘리시안CC,3
볼목당,3
와산리경로당,3
지경동산,3
지명뒤,3
색달,3
돌선밭,3
토산1리리사무소앞,3
황사평성지,3
돈내코교,3
봉개교,3
법정사입구,3
차귀포구,3
오조리,3
주공아파트,3
파라다이스호텔입구,3
옛성정문,3
선돌목동길,3
하우목동,3
안성리사무소앞,3
선흘,3
뒤큰글,3
진진내,3
물곧밭,3
올란이,3
오조리입구,3
항몽유적지,3
회수사거리,3
가시리,3
심향사,3
신흥리복지회관,3
석수동,3
한림농협주유소,3
조천리상동,3
우당도서관입구,3
제일농장,3
우진교차로,3
대정읍다목적회관,3
대정고등학교,3
행장디,3
의귀산하동,3
봉성리사무소,3
산하동,3
켄싱턴제주호텔입구,3
스위스마을입구,3
명월리노인복지회관,3
소길리사무소,3
국학원,3
카카오,3
상가리서동,3
수산2리퐁낭거리,3
저지남동,3
추자해변장여관,3
저지리수동,3
송당리마을,3
정든마을3단지,3
금악보건진료소,3
남원2리,3
수룡동,3
하귀농협경제사업장,3
송악도서관,3
제석머리,3
난산입구(성산기상대),3
난산입구,3
낙천폭낭거리,3
대정농공단지,3
산이굴,3
광평리,3
토산1리노인회관,3
토산1리리사무소,3
제주조각공원,3
난산리노인복지회관,3
성연목장,3
원물오름,3
부영3차아파트,3
고수동회관,3
도깨비공원,3
광평교차로,3
제주웰컴센터,3
덕수리새마을금고,3
고지교,3
하천리취락구조,3
삼달1리,3
세화1리취락구조,3
위미중학교,3
성화마을회관,3
대한목공소,3
태흥목장,3
혜원정사,2
평화동,2
하귀반석,2
하도리신동,2
해병대아파트입구,2
차고지(가상),2
평지동옹기박물관,2
활오름,2
향토오일시장,2
첨단꿈에그린3단지아파트,2
황사평입구,2
토산1리노인회관앞,2
탐라교육원,2
추자교,2
칼호텔,2
추자보건지소,2
해아미,2
화성농장,2
폭남동,2
지방합동청사,2
하귀1리,2
축산마을,2
틀라목,2
한남교,2
혜정원아가의집,2
한흘마을입구,2
(구)구판장,2
히귀반석,2
웃송당,2
물진밭입구,2
묵리항,2
오렌지빌라,2
오조리상동입구,2
오조리하동,2
무릉리(사장동),2
모진이작지해수욕장입구,2
모구리야영장,2
용운사,2
명도암입구,2
두수동,2
자운당사거리,2
위호텔,2
동일2리,2
동상동삼거리,2
동부위생처리장입구,2
이시돌삼거리,2
도련서마을,2
덕수도련동,2
일과2리서림수원지입구,2
일도초등학교,2
